pilot_case_id,crosswalk_key,historical_place_key,source_name_1945,normalized_name_candidate,post1948_scope_bucket,core_entity_type,core_entity_code,core_entity_name_ar,core_governorate_name_ar,e1_4_review_track,batch_f_stage_v0_38,batch_f_priority_v0_38,batch_f_ui_module_v0_38,batch_f_required_action_v0_38,source_locator_1_type,source_locator_1_reference,source_locator_1_page_or_sheet,source_locator_1_confidence,source_locator_2_type,source_locator_2_reference,reviewer_1_decision,reviewer_1_notes,reviewer_2_decision,reviewer_2_notes,final_review_board_state
BF38-PILOT-001,core_crosswalk_e_0802,mandate_1945__tulkarm__zayta,Zayta,zayta,palwakf_core_candidate_west_bank,community,T015,زيتا,محافظة طولكرم,T1_fast_track_locator_closure_queue,F.1_locator_intake_and_dual_signoff,P1_execute_first,review_board_locator_queue,collect_two_source_locators_then_require_dual_reviewer_signoff,,,,,,,,,,,not_started_real_human_review
BF38-PILOT-002,core_crosswalk_e_0046,mandate_1945__hebron__bani_naim,Bani Na'im,bani na im,palwakf_core_candidate_west_bank,community,H006,بني نعيم,محافظة الخليل,T1_fast_track_locator_closure_queue,F.1_locator_intake_and_dual_signoff,P1_execute_first,review_board_locator_queue,collect_two_source_locators_then_require_dual_reviewer_signoff,,,,,,,,,,,not_started_real_human_review
BF38-PILOT-003,core_crosswalk_e_0047,mandate_1945__hebron__bayt_aula,Bayt Aula,beit aula,palwakf_core_candidate_west_bank,community,H013,بيت اولا,محافظة الخليل,T1_fast_track_locator_closure_queue,F.1_locator_intake_and_dual_signoff,P1_execute_first,review_board_locator_queue,collect_two_source_locators_then_require_dual_reviewer_signoff,,,,,,,,,,,not_started_real_human_review
BF38-PILOT-004,core_crosswalk_e_0048,mandate_1945__hebron__bayt_kahil,Bayt Kahil,beit kahil,palwakf_core_candidate_west_bank,community,H020,بيت كاحل,محافظة الخليل,T1_fast_track_locator_closure_queue,F.1_locator_intake_and_dual_signoff,P1_execute_first,review_board_locator_queue,collect_two_source_locators_then_require_dual_reviewer_signoff,,,,,,,,,,,not_started_real_human_review
BF38-PILOT-005,core_crosswalk_e_0050,mandate_1945__hebron__dura,Dura,dura,palwakf_core_candidate_west_bank,community,H004,دورا,محافظة الخليل,T1_fast_track_locator_closure_queue,F.1_locator_intake_and_dual_signoff,P1_execute_first,review_board_locator_queue,collect_two_source_locators_then_require_dual_reviewer_signoff,,,,,,,,,,,not_started_real_human_review
BF38-PILOT-006,core_crosswalk_e_0051,mandate_1945__hebron__halhul,Halhul,halhul,palwakf_core_candidate_west_bank,community,H005,حلحول,محافظة الخليل,T1_fast_track_locator_closure_queue,F.1_locator_intake_and_dual_signoff,P1_execute_first,review_board_locator_queue,collect_two_source_locators_then_require_dual_reviewer_signoff,,,,,,,,,,,not_started_real_human_review
BF38-PILOT-007,core_crosswalk_e_0057,mandate_1945__jerusalem__abu_dis,Abu Dis,abu dis,palwakf_core_candidate_west_bank,community,JE004,ابوديس,محافظة القدس,T1_fast_track_locator_closure_queue,F.1_locator_intake_and_dual_signoff,P1_execute_first,review_board_locator_queue,collect_two_source_locators_then_require_dual_reviewer_signoff,,,,,,,,,,,not_started_real_human_review
BF38-PILOT-008,core_crosswalk_e_0059,mandate_1945__jerusalem__anata,Anata,anata,palwakf_core_candidate_west_bank,community,JE003,عناتا,محافظة القدس,T1_fast_track_locator_closure_queue,F.1_locator_intake_and_dual_signoff,P1_execute_first,review_board_locator_queue,collect_two_source_locators_then_require_dual_reviewer_signoff,,,,,,,,,,,not_started_real_human_review
BF38-PILOT-009,core_crosswalk_e_0061,mandate_1945__jerusalem__artas,Artas,artas,palwakf_core_candidate_west_bank,community,B016,ارطاس,محافظة بيت لحم,T1_fast_track_locator_closure_queue,F.1_locator_intake_and_dual_signoff,P1_execute_first,review_board_locator_queue,collect_two_source_locators_then_require_dual_reviewer_signoff,,,,,,,,,,,not_started_real_human_review
BF38-PILOT-010,core_crosswalk_e_0675,mandate_1945__ramallah__surda,Surda,surda,palwakf_core_candidate_west_bank,community,R059,سردا,محافظة رام الله والبيرة,T1_fast_track_locator_closure_queue,F.1_locator_intake_and_dual_signoff,P1_execute_first,review_board_locator_queue,collect_two_source_locators_then_require_dual_reviewer_signoff,,,,,,,,,,,not_started_real_human_review
BF38-PILOT-011,core_crosswalk_e_0674,mandate_1945__ramallah__sinjil,Sinjil,sinjil,palwakf_core_candidate_west_bank,community,R011,سنجل,محافظة رام الله والبيرة,T1_fast_track_locator_closure_queue,F.1_locator_intake_and_dual_signoff,P1_execute_first,review_board_locator_queue,collect_two_source_locators_then_require_dual_reviewer_signoff,,,,,,,,,,,not_started_real_human_review
BF38-PILOT-012,core_crosswalk_e_0065,mandate_1945__jerusalem__bayt_hanina,Bayt Hanina,beit hanina,palwakf_core_candidate_west_bank,community,JE041,بيت حنينا,محافظة القدس,T1_fast_track_locator_closure_queue,F.1_locator_intake_and_dual_signoff,P1_execute_first,review_board_locator_queue,collect_two_source_locators_then_require_dual_reviewer_signoff,,,,,,,,,,,not_started_real_human_review
BF38-PILOT-013,core_crosswalk_e_0650,mandate_1945__ramallah__ayn_qinya,Ayn Qinya,ayn qinya,palwakf_core_candidate_west_bank,community,R064,عين قينيا,محافظة رام الله والبيرة,T1_fast_track_locator_closure_queue,F.1_locator_intake_and_dual_signoff,P1_execute_first,review_board_locator_queue,collect_two_source_locators_then_require_dual_reviewer_signoff,,,,,,,,,,,not_started_real_human_review
BF38-PILOT-014,core_crosswalk_e_0651,mandate_1945__ramallah__ayn_sinya,Ayn Sinya,ayn sinya,palwakf_core_candidate_west_bank,community,R067,عين سينيا,محافظة رام الله والبيرة,T1_fast_track_locator_closure_queue,F.1_locator_intake_and_dual_signoff,P1_execute_first,review_board_locator_queue,collect_two_source_locators_then_require_dual_reviewer_signoff,,,,,,,,,,,not_started_real_human_review
BF38-PILOT-015,core_crosswalk_e_0647,mandate_1945__ramallah__ibwein,Ibwein,ibwayn,palwakf_core_candidate_west_bank,community,R028,عبوين,محافظة رام الله والبيرة,T1_fast_track_locator_closure_queue,F.1_locator_intake_and_dual_signoff,P1_execute_first,review_board_locator_queue,collect_two_source_locators_then_require_dual_reviewer_signoff,,,,,,,,,,,not_started_real_human_review
BF38-PILOT-016,core_crosswalk_e_0678,mandate_1945__ramallah__turmus_ayya,Turmus 'Ayya,turmus ayya,palwakf_core_candidate_west_bank,community,R025,ترمسعيا,محافظة رام الله والبيرة,T1_fast_track_locator_closure_queue,F.1_locator_intake_and_dual_signoff,P1_execute_first,review_board_locator_queue,collect_two_source_locators_then_require_dual_reviewer_signoff,,,,,,,,,,,not_started_real_human_review
